Model Year,Mfr Name,Division,Carline,Engine Displacement,# Cylinders,Transmission,City FE,Highway FE,Combined FE,Air Aspiration Method,Transmission Description,# Gears,Drive Desc,Carline Class Desc,Release Date,City CO2,Highway CO2,Combined CO2,Highway Fe
2015,aston martin,Aston Martin Lagonda Ltd,V12 Vantage S,6.0,12,Auto,12,18.0,14,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Two Seaters,20/01/2014,742,488,628,
2015,aston martin,Aston Martin Lagonda Ltd,V8 Vantage,4.7,8,Auto,14,21.0,16,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Two Seaters,19/05/2014,655,426,552,
2015,aston martin,Aston Martin Lagonda Ltd,V8 Vantage,4.7,8,Manual,13,19.0,15,Naturally Aspirated,Manual,6,"2-Wheel Drive, Rear",Two Seaters,19/05/2014,681,461,582,
2015,aston martin,Aston Martin Lagonda Ltd,V8 Vantage S,4.7,8,Auto,14,21.0,16,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Two Seaters,19/05/2014,655,426,552,
2015,aston martin,Aston Martin Lagonda Ltd,V8 Vantage S,4.7,8,Manual,13,19.0,15,Naturally Aspirated,Manual,6,"2-Wheel Drive, Rear",Two Seaters,19/05/2014,681,461,582,
2015,aston martin,Aston Martin Lagonda Ltd,Vantage GT,4.7,8,Auto,14,21.0,16,Naturally Aspirated,Automated Manual,7,"2-Wheel Drive, Rear",Two Seaters,19/05/2014,655,426,552,
2015,aston martin,Aston Martin Lagonda Ltd,Vantage GT,4.7,8,Manual,13,19.0,15,Naturally Aspirated,Manual,6,"2-Wheel Drive, Rear",Two Seaters,19/05/2014,681,461,582,
2015,Volkswagen Group of,Audi,R8,4.2,8,Auto,14,23.0,17,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Two Seaters,09/06/2014,656,394,538,
2015,Volkswagen Group of,Audi,R8,4.2,8,Manual,11,20.0,14,Naturally Aspirated,Manual,6,All Wheel Drive,Two Seaters,09/06/2014,772,439,622,
2015,Volkswagen Group of,Audi,R8,5.2,10,Auto,13,22.0,16,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Two Seaters,09/06/2014,686,400,557,
2015,Volkswagen Group of,Audi,R8,5.2,10,Manual,12,19.0,14,Naturally Aspirated,Manual,6,All Wheel Drive,Two Seaters,09/06/2014,753,454,618,
2015,Volkswagen Group of,Audi,R8 Spyder,4.2,8,Auto,14,23.0,17,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Two Seaters,09/06/2014,656,394,538,
2015,Volkswagen Group of,Audi,R8 Spyder,4.2,8,Manual,11,20.0,14,Naturally Aspirated,Manual,6,All Wheel Drive,Two Seaters,09/06/2014,772,439,622,
2015,Volkswagen Group of,Audi,R8 Spyder,5.2,10,Auto,13,22.0,16,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,All Wheel Drive,Two Seaters,09/06/2014,686,400,557,
2015,Volkswagen Group of,Audi,R8 Spyder,5.2,10,Manual,12,19.0,14,Naturally Aspirated,Manual,6,All Wheel Drive,Two Seaters,09/06/2014,753,454,618,
2015,Volkswagen Group of,Audi,TT Roadster quattro,2.0,4,Auto,22,31.0,26,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),6,All Wheel Drive,Two Seaters,15/01/2014,395,284,345,
2015,BMW,BMW,Z4 sDrive28i,2.0,4,Auto,22,33.0,26,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Two Seaters,26/03/2014,403,266,341,
